SeriesId,MatchId,Player,PlayerId,Team,TeamId,Role,Sel,Credits,ComBatPos,Series Points,PlayingXI,Points,DT
3996,43966,M Rahim,,BAN,,WK,32.34,9,0,0,0,0,0
3996,43966,L Das,,BAN,,WK,75.81,9,1,0,1,0,0
3996,43966,R Gurbaz,,AFG,,WK,73.1,9,2,0,1,0,0
3996,43966,Nurul Hasan,,BAN,,WK,3.19,8,0,0,0,0,0
3996,43966,A Zazai,,AFG,,WK,1.99,8,0,0,0,0,0
3996,43966,Najibullah-Zadran,,AFG,,BAT,81.03,9,3,0,1,0,0
3996,43966,H Zazai,,AFG,,BAT,83.75,9,1,0,1,0,0
3996,43966,U Ghani,,AFG,,BAT,19,8.5,0,0,0,0,0
3996,43966,A Hossain,,BAN,,BAT,72.81,8.5,6,0,1,0,0
3996,43966,N Sheik,,BAN,,BAT,45.2,8.5,2,0,1,0,0
3996,43966,Y Ali Chowdhury,,BAN,,BAT,11.36,8,5,0,1,0,0
3996,43966,D Rasooli,,AFG,,BAT,4.08,8,7,0,1,0,0
3996,43966,M Shahriar,,BAN,,BAT,7.02,8,7,0,1,0,0
3996,43966,S Al Hasan,,BAN,,AR,91.19,10,3,0,1,0,0
3996,43966,M Nabi,,AFG,,AR,67.42,9.5,4,0,1,0,0
3996,43966,Mahmudullah,,BAN,,AR,54.06,9,4,0,1,0,0
3996,43966,K Janat,,AFG,,AR,22.38,8.5,8,0,1,0,0
3996,43966,M Hasan,,BAN,,AR,20.93,8.5,8,0,1,0,0
3996,43966,A Omarzai,,AFG,,AR,2.45,8.5,6,0,1,0,0
3996,43966,Rashid-Khan,,AFG,,BOWL,93.1,9.5,5,0,1,0,0
3996,43966,M Rahman,,BAN,,BOWL,79.08,9.5,11,0,1,0,0
3996,43966,Mujeeb-ur-Rahman,,AFG,,BOWL,42.46,9,10,0,1,0,0
3996,43966,T Ahmed,,BAN,,BOWL,41.57,8.5,0,0,0,0,0
3996,43966,F Haq,,AFG,,BOWL,45.21,8.5,9,0,1,0,0
3996,43966,S Islam,,BAN,,BOWL,13.66,8.5,0,0,1,0,0
3996,43966,Q Ahmad,,AFG,,BOWL,7.07,8.5,11,0,1,0,0
3996,43966,N Ahmed,,BAN,,BOWL,15.14,8.5,9,0,1,0,0
3996,43966,F Malik,,AFG,,BOWL,4.08,8.5,0,0,0,0,0
3996,43966,S Ashraf,,AFG,,BOWL,4.66,8,0,0,0,0,0
3996,43966,S Islam,,BAN,,BOWL,2.42,8,10,0,0,0,0
3996,43966,N Masood,,AFG,,BOWL,2.87,8,0,0,0,0,0
