SeriesId,MatchId,Player,PlayerId,Team,TeamId,Role,Sel,Credits,Series Points,Series DT,PlayingXI,Points
4061,45886,M Dhoni,,CSK,,WK,39.54,8.5,,,,
4061,45886,S Billings,,KKR,,WK,71.13,8.5,,,,
4061,45886,S Jackson,,KKR,,WK,5.8,8,,,,
4061,45886,N Jagadeesan,,CSK,,WK,5.24,8,,,,
4061,45886,S Iyer,,KKR,,BAT,86.62,9.5,,,,
4061,45886,R Gaikwad,,CSK,,BAT,83.45,9.5,,,,
4061,45886,A Rayudu,,CSK,,BAT,45.8,9,,,,
4061,45886,N Rana,,KKR,,BAT,48.61,9,,,,
4061,45886,R Uthappa,,CSK,,BAT,23.8,8.5,,,,
4061,45886,A Rahane,,KKR,,BAT,10.58,8.5,,,,
4061,45886,A Finch,,KKR,,BAT,22.62,8.5,,,,
4061,45886,D Conway,,CSK,,BAT,28.98,8.5,,,,
4061,45886,B Indrajith,,KKR,,BAT,1.17,8,,,,
4061,45886,R Singh,,KKR,,BAT,0.57,8,,,,
4061,45886,S Senapati,,CSK,,BAT,0.67,8,,,,
4061,45886,P Singh,,KKR,,BAT,0.73,8,,,,
4061,45886,C Hari Nishanth,,CSK,,BAT,1.31,8,,,,
4061,45886,A Tomar,,KKR,,BAT,0.61,7.5,,,,
4061,45886,A Russell,,KKR,,AR,61.68,10,,,,
4061,45886,M Ali,,CSK,,AR,47.69,10,,,,
4061,45886,R Jadeja,,CSK,,AR,80.28,9.5,,,,
4061,45886,S Narine,,KKR,,AR,37.03,9.5,,,,
4061,45886,V Iyer,,KKR,,AR,52.3,9,,,,
4061,45886,M Nabi,,KKR,,AR,2.98,8.5,,,,
4061,45886,M Santner,,CSK,,AR,2.44,8.5,,,,
4061,45886,S Dube,,CSK,,AR,5.6,8.5,,,,
4061,45886,D Pretorius,,CSK,,AR,1.44,8,,,,
4061,45886,A Sudhakar Roy,,KKR,,AR,0.54,8,,,,
4061,45886,C Karunaratne,,KKR,,AR,1.45,8,,,,
4061,45886,B Varma,,CSK,,AR,0.5,7.5,,,,
4061,45886,P Cummins,,KKR,,BOWL,46.15,9,,,,
4061,45886,D Bravo,,CSK,,BOWL,68.38,8.5,,,,
4061,45886,T Southee,,KKR,,BOWL,48.81,8.5,,,,
4061,45886,U Yadav,,KKR,,BOWL,12.68,8.5,,,,
4061,45886,A Milne,,CSK,,BOWL,23.95,8.5,,,,
4061,45886,D Chahar,,CSK,,BOWL,44.97,8.5,,,,
4061,45886,C Jordan,,CSK,,BOWL,17.61,8.5,,,,
4061,45886,S Mavi,,KKR,,BOWL,13.52,8.5,,,,
4061,45886,V Chakravarthy,,KKR,,BOWL,34.08,8.5,,,,
4061,45886,M Theekshana,,CSK,,BOWL,5.07,8.5,,,,
4061,45886,T Deshpande,,CSK,,BOWL,3.42,8,,,,
4061,45886,K Asif,,CSK,,BOWL,1.98,8,,,,
4061,45886,S Singh,,CSK,,BOWL,0.47,8,,,,
4061,45886,M Choudhary,,CSK,,BOWL,0.45,8,,,,
4061,45886,R Salem,,KKR,,BOWL,0.65,8,,,,
4061,45886,R Hangargekar,,CSK,,BOWL,2.36,8,,,,
4061,45886,P Solanki,,CSK,,BOWL,1.01,8,,,,
4061,45886,R Kumar,,KKR,,BOWL,0.71,8,,,,
4061,45886,A Khan,,KKR,,BOWL,2.09,7.5,,,,
4061,45886,A Sharma,,KKR,,BOWL,0.72,7.5,,,,
